,,,Associated with resistance,,,,,,,,
,,,,,,,,,,,
,,,Death,,YLLs,,DALYs,,YLDs,,
,,,,,,,,,,,
,"Counts, Thousands",,,,,,,,,,
,,,,,,,,,,,
,Global,,4950 (3620-6570),,"189,000 (145,000-245,000)",,192000 (146 000-248000),,2290 (1520-3450),,
,,,,,,,,,,,
,,,,,,,,,,,
,"Central Europe, Eastern Europe, and Central Asia",,283(  190-403),,"7530 (5240-10,500)",,7630(5320-10600),,102(69-140),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,High Income,,604(434-824),,"10,100 (6960-14200)",,10300(7040-14400),,123(79.7-183),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Latin America and Carribean,,338(243-453),,9550(6670-12900),,9640(6830-13100),,97.2(63.2-146),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,North Africa and Middle East,,256(174-362),,9970(6680-13900),,10100(6970-14000),,116(73.4-176),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,South Asia,,1390(1030-1830),,58900(44800-76300),,59900(45700-77500),,1000(638-1550),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Southeast Asia, East Asia, and Oceania",,1020(678-1460),,27500(18700-38600),,27900(19100-39100),,437(256-776),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Sub- Saharan Africa,,1070(847-1340),,65800(51400-83600),,416(270-599),,255(196-331),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Rates, per 100,000",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Global,,64.0(46.8-84.9),,2448.1(1868.9-3170.3),,2477.7(1889.9-3199.1),,"29,6(19.7-44.5)",,
,,,,,,,,,,,
,,,,,,,,,,,
,"Central Europe, Eastern Europe, and Central Asia",,67.7(45.4-96.6),,1802.5(1253.9-2515.),,1826.9(1247.5-2545.4),,24.4(16.5-33.6),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,High Income,,55.7(40.1-76.0),,935.3(641.9-1310.1),,946.7(649.8-1327.2),,11.3(7.3-16.9),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Latin America and Carribean,,57.9(41.6-77.6),,1633.8(1158.6-2215.9),,1650.5(1169.-2236.6),,16.6(10.8-25.0),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,North Africa and Middle East,,42.0(28.7-59.5),,1637.5(1130.4-2283.2),,1656.6(1145.2-2300.9),,19.1(12.1-28.9),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,South Asia,,76.8(57.2-101.2),,3262.6(2482.4-4228.2),,3318.1(2532.9-4291.7),,55.4(35.4-86.0),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Southeast Asia, East Asia, and Oceania",,47.1(31.4-67.7),,1272.6(866.8-1789.0),,1292.8(884.7-1811.4),,20.2(11.8-35.9),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Sub- Saharan Africa,,98.9(78.6-124.2),,6105.3(4770.2-7749.1),,6143.9(4802.8-7792.2),,38.6(25.1-55.6),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
