,,,Attributal with resistance,,,,,,,,
,,,,,,,,,,,
,,,Death,,YLLs,,DALYs,,YLDs,,
,,,,,,,,,,,
,"Counts, Thousands",,,,,,,,,,
,,,,,,,,,,,
,Global,,1270(911-1710),,47600(35000-63400),,47900(35300-63700),,275(161-439),,
,,,,,,,,,,,
,,,,,,,,,,,
,"Central Europe, Eastern Europe, and Central Asia",,73.7(48.7-105),,1980(1350-2790),,1990(1360-2800),,9.95(4.79-16.8),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,High Income,,141(98.6-197),,2390(1620-3400),,2410(1640-3420),,20.2(12.7-31.2),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Latin America and Carribean,,84·3 (60·3–117),,2370 (1660–3310),,2380 (1680–3330),,16 (9·79–24·9),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,North Africa and Middle East,,68·3 (45·6–99),,2590 (1770–3700),,2610 (1790–3720),,20·7 (12–33·5),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,South Asia,,389 (273–538,,16?000 (11?500–21?600),,16?100 (11?600–21?700),,111 (58·5–188),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Southeast Asia, East Asia, and Oceania",,254 (167–369),,6830 (4620–9840),,6870 (4670–9890),,45·6 (25–80·1),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Sub- Saharan Africa,,255 (196–331),,15?400 (11?700–19?900),,15?500 (11?800–20?000),,51·1 (30·2–81·8),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Rates, per 100,000",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Global,,16·4 (11·8–22·0),,615·1 (452·4–819·1),,618·7 (455·7–823·2),,3·6 (2·1–5·7),,
,,,,,,,,,,,
,,,,,,,,,,,
,"Central Europe, Eastern Europe, and Central Asia",,17·6 (11·7–25·3),,474·3 (323·0–667·3),,476·7 (325·2–671·0),,2·4 (1·1–4·0),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,High Income,,13·0 (9·1–18·2),,220·4 (149·9–314·0),,222·3 (151·5–315·9),,1·9 (1·2–2·9),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Latin America and Carribean,,14·4 (10·3–20·0),,405·3 (284·8–566·6),,408·1 (286·9–570·0),,2·7 (1·7–4·3),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,North Africa and Middle East,,11·2 (7·5–16·3),,425·6 (291·2–608·4),,429·0 (293·7–611·5),,3·4 (2·0–5·5),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,South Asia,,21·5 (15·1–29·8),,885·8 (636·3–1194·6),,892·0 (643·1–1200·2),,6·2 (3·2–10·4),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"Southeast Asia, East Asia, and Oceania",,11·7 (7·8–17·1),,316·1 (213·9–455·7),,318·2 (216·1–458·0),,2·1 (1·2–3·7),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Sub- Saharan Africa,,23·7 (18·2–30·7),,1432·0 (1084·6–1848·1),,1436·7 (1090·0–1853·5),,4·7 (2·8–7·6),,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
